CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
5590	7073	27	0.9225	-36.021
5577	5762	27	0.9277	-18.010
425	5469	27	0.9621	-35.036
3463	3639	27	0.9504	18.004
1864	7041	27	0.936	-42.993
5469	8368	27	0.9251	-253.195
1753	5469	27	0.9469	-18.009
1802	6981	27	0.9637	-14.016
290	1753	27	0.9559	-17.027
5472	5577	27	0.9351	53.048
1694	6564	27	0.9725	-0.000
5472	5762	27	0.9674	35.038
582	1557	27	0.9522	-0.000
290	7057	27	0.9555	0.983
4180	7579	27	0.9514	-17.966
44	7057	27	0.9494	36.961
13930	13990	27	0.9259	-17.026
5577	7046	27	0.9272	-35.037
5590	9448	27	0.9555	-0.000
2178	7057	27	0.9591	-17.027
178	1864	27	0.9405	18.994
164	290	27	0.9539	17.967
410	425	27	0.9853	-18.010
4266	5484	27	0.9347	-272.236
410	5469	27	0.9506	-53.047
7579	7605	27	0.9779	-17.027
410	2178	27	0.9532	-0.001
1849	9257	27	0.9245	28.031
1557	6564	27	0.9623	-28.032
4916	5543	27	0.9413	-78.033
4823	12628	27	0.9529	-0.001
3639	7057	27	0.9498	0.947
5762	7041	27	0.9798	0.001
2178	3465	27	0.9425	-17.967
253	5469	27	0.9362	17.968
255	6981	27	0.9603	-28.031
7041	7046	27	0.9299	-17.027
1640	1753	27	0.9624	-17.027
1425	1754	27	0.9647	14.016
164	3639	27	0.9538	18.003
290	2178	27	0.9569	18.010
21	1557	27	0.9814	-0.000
3465	7057	27	0.9501	0.940
21	1802	27	0.955	-14.015
255	1557	27	0.9555	-0.000
1754	6564	27	0.9482	-42.047
4180	7604	27	0.9343	44.026
7078	7604	27	0.9341	-17.968
178	410	27	0.9746	36.021
616	12502	27	0.9659	18.011
1694	3661	27	0.9501	28.031
3463	3465	27	0.956	18.010
1557	1802	27	0.947	-14.015
2178	3639	27	0.9385	-17.974
616	3465	27	0.9605	-17.967
178	7085	27	0.9508	0.983
410	4916	27	0.9449	18.011
1557	1754	27	0.9532	14.016
44	616	27	0.9484	53.988
3465	3639	27	0.9683	-0.007
255	4916	27	0.9569	0.001
178	5469	27	0.9563	-17.025
4180	5484	27	0.967	17.967
425	7057	27	0.9579	0.983
178	7057	27	0.949	18.993
582	2771	27	0.9543	-14.016
1864	5762	27	0.9359	-42.994
1557	3661	27	0.9582	-0.000
164	582	27	0.9612	53.988
1640	2569	27	0.9383	18.011
4266	7046	27	0.9435	0.984
255	12502	27	0.9735	-0.000
5762	7046	27	0.9251	-17.027
164	255	27	0.9644	53.988
10279	10295	27	0.9334	-53.047
1425	6564	27	0.9598	-28.031
164	3463	27	0.9601	-0.000
410	7057	27	0.953	-17.028
178	1640	27	0.9443	18.010
1694	1754	27	0.9481	42.047
164	3563	27	0.9563	18.010
10121	13372	28	0.8406	-0.000
5974	12422	28	0.8287	0.023
2751	5974	28	0.9135	-0.000
9318	14940	28	0.8318	-0.567
6259	9090	28	0.7983	0.482
10121	14940	28	0.9239	-0.037
10773	14915	28	0.9233	-0.088
12422	12809	28	0.8213	0.040
1339	14940	28	0.9201	0.058
1339	9318	28	0.9055	0.624
8468	13372	28	0.8593	0.000
10773	11277	28	0.7923	-0.127
9318	14965	28	0.9082	-0.564
13372	14940	28	0.7898	-0.037
10121	10773	28	0.7994	-27.978
9090	10763	28	0.8151	0.002
10773	12809	28	0.8525	0.476
8468	9318	28	0.8882	0.530
2751	9090	28	0.8084	-0.432
13916	14915	28	0.8353	-0.032
2751	12809	28	0.8184	0.064
2105	9090	28	0.8124	207.129
13051	14915	28	0.7878	-0.034
10763	12809	28	0.8077	0.493
1339	14965	28	0.9628	0.060
1339	14915	28	0.8117	-27.971
9318	10121	28	0.8844	-0.530
10121	14965	28	0.9431	-0.035
2105	12809	28	0.8151	207.624
1339	8468	28	0.9465	0.094
2105	5974	28	0.7806	207.561
1339	13372	28	0.8611	0.094
9090	12422	28	0.7969	0.455
10773	13916	28	0.8185	-0.057
2751	12422	28	0.8501	0.023
10763	10773	28	0.9453	0.017
10763	14940	28	0.8057	27.958
8074	10763	28	0.7802	0.050
9090	12809	28	0.8789	0.496
14940	14965	28	0.8937	0.002
9090	10773	28	0.8446	0.020
8074	13916	28	0.9344	0.010
10763	14915	28	0.9057	-0.071
1339	10121	28	0.9624	0.095
5974	12809	28	0.8292	0.064
10763	11277	28	0.8265	-0.109
5974	6259	28	0.7839	-0.914
8468	14940	28	0.8964	-0.037
8468	10121	28	0.9317	0.000
9090	14915	28	0.8768	-0.069
10773	14940	28	0.8049	27.941
9318	13372	28	0.817	-0.530
12809	14915	28	0.8815	-0.564
5974	9090	28	0.8173	-0.432
8468	14965	28	0.9636	-0.034
10763	13916	28	0.8435	-0.039
11277	14915	28	0.8337	0.038
13372	14965	28	0.8791	-0.034
1402	13856	29	0.9588	0.012
6987	13605	30	0.9492	0.036
870	12472	30	0.9271	0.006
236	3112	30	0.9124	-0.036
236	13605	30	0.9224	0.000
6987	12472	30	0.973	0.042
3612	12472	30	0.9317	0.498
236	3612	30	0.8664	-0.492
9725	9775	30	0.9554	0.000
3112	11984	30	0.9163	-0.000
12298	14742	30	0.8285	0.001
870	5813	30	0.942	-0.036
11206	12472	30	0.8937	0.042
12298	13544	30	0.948	0.000
3112	5813	30	0.9532	-0.000
11534	14742	30	0.8457	-0.037
12274	14742	30	0.8476	-0.000
6987	9557	30	0.9712	0.025
9557	13605	30	0.9526	0.011
9692	9775	30	0.8899	0.000
236	11206	30	0.8792	-0.036
870	9557	30	0.922	-0.011
3612	11984	30	0.8821	0.456
9775	12472	30	0.9169	0.006
3112	3612	30	0.953	-0.456
11578	13544	30	0.9079	-0.037
5813	6987	30	0.9753	0.000
5813	11984	30	0.9228	0.000
3612	9557	30	0.9336	0.481
3112	12472	30	0.9006	0.042
8526	13544	30	0.9297	-0.037
13532	13544	30	0.8927	-0.001
3612	6987	30	0.9501	0.456
9557	11206	30	0.9102	-0.025
12472	13605	30	0.9565	-0.006
11578	14742	30	0.8705	-0.036
13532	14742	30	0.9381	-0.000
870	9775	30	0.9497	0.000
3112	6987	30	0.9327	0.000
236	12472	30	0.9195	0.006
5813	13605	30	0.9409	0.036
870	9725	30	0.8877	0.000
9557	12472	30	0.9681	0.017
9775	13605	30	0.9624	0.000
5813	9557	30	0.965	0.025
9557	9775	30	0.9	0.011
11578	12298	30	0.8917	-0.037
3112	11206	30	0.9439	-0.000
6987	11206	30	0.9201	-0.000
236	870	30	0.8919	-0.000
3612	11206	30	0.9146	0.456
870	3612	30	0.8755	-0.492
9725	13605	30	0.8971	0.000
3112	9557	30	0.9215	0.025
870	13605	30	0.9519	0.000
5813	11206	30	0.9239	-0.000
11984	12274	30	0.8972	-0.036
870	3112	30	0.8916	-0.036
236	9557	30	0.9622	-0.011
